img,bodyPartName,bodyPartConf,eq_type,eq_conf,eqCover_conf,eq_box,eqCover_bool
image-asset/irma-yanti-FC1RUP273r8-unsplash.jpg,HEAD,99.9830322265625,HEAD_COVER,99.35464477539062,99.9793930053711,0.0010224027048354595,True
image-asset/irma-yanti-FC1RUP273r8-unsplash.jpg,FACE,92.0824966430664,FACE_COVER,91.64030456542969,91.5048828125,0.00034281746758295026,False
image-asset/irma-yanti-FC1RUP273r8-unsplash.jpg,HEAD,99.38179016113281,HEAD_COVER,99.33104705810547,99.99032592773438,0.0010699779610119087,True
image-asset/josh-olalde-X1P1_EDNnok-unsplash.jpg,HEAD,77.34398651123047,HEAD_COVER,82.79619598388672,96.68168640136719,0.0018776684674766952,True
image-asset/josue-isai-ramos-figueroa-qvBYnMuNJ9A-unsplash.jpg,HEAD,99.34503173828125,HEAD_COVER,98.3821029663086,99.8429946899414,0.0006097984392152908,True
image-asset/josue-isai-ramos-figueroa-qvBYnMuNJ9A-unsplash.jpg,RIGHT_HAND,88.58129119873047,HAND_COVER,90.82656860351562,99.70278930664062,0.0002914209811074892,True
image-asset/josue-isai-ramos-figueroa-qvBYnMuNJ9A-unsplash.jpg,HEAD,96.83463287353516,HEAD_COVER,99.74384307861328,99.963623046875,0.0007653869002826712,True
image-asset/josue-isai-ramos-figueroa-qvBYnMuNJ9A-unsplash.jpg,HEAD,82.2594223022461,HEAD_COVER,99.32642364501953,99.82743072509766,0.000851500465684496,True
image-asset/josue-isai-ramos-figueroa-qvBYnMuNJ9A-unsplash.jpg,HEAD,98.19295501708984,HEAD_COVER,86.46469116210938,98.7172622680664,0.0006707364076653337,True
image-asset/josue-isai-ramos-figueroa-qvBYnMuNJ9A-unsplash.jpg,HEAD,90.5907211303711,HEAD_COVER,99.58607482910156,99.93416595458984,0.0007844285684573127,True
image-asset/kentaro-toma-jCKC5W8s-cc-unsplash.jpg,RIGHT_HAND,97.37353515625,HAND_COVER,84.48294830322266,99.48656463623047,0.00425638613645446,True
image-asset/kentaro-toma-jCKC5W8s-cc-unsplash.jpg,HEAD,99.88101196289062,HEAD_COVER,99.10696411132812,99.98884582519531,0.002787578841153285,True
image-asset/kentaro-toma-jCKC5W8s-cc-unsplash.jpg,LEFT_HAND,96.07196044921875,HAND_COVER,93.70895385742188,97.33899688720703,0.0026381169085826772,True
image-asset/kentaro-toma-jCKC5W8s-cc-unsplash.jpg,HEAD,98.39341735839844,HEAD_COVER,94.85948944091797,99.99085235595703,0.002744682572725532,True
image-asset/max-larochelle-QzP1GcDOSC8-unsplash.jpg,LEFT_HAND,58.634002685546875,HAND_COVER,94.98543548583984,99.99475860595703,0.019210794091968353,True
image-asset/max-larochelle-QzP1GcDOSC8-unsplash.jpg,HEAD,95.15928649902344,HEAD_COVER,70.43204498291016,85.9844970703125,0.07826763816035331,True
image-asset/morgan-von-gunten-G-YbAOA6qqQ-unsplash.jpg,HEAD,99.73893737792969,HEAD_COVER,99.37735748291016,99.67375946044922,0.13302075586796036,True
image-asset/mufid-majnun-EiVEsCCLHFE-unsplash.jpg,FACE,95.83180236816406,FACE_COVER,99.60875701904297,99.24418640136719,0.013069118641307886,False
image-asset/mufid-majnun-EiVEsCCLHFE-unsplash.jpg,HEAD,99.985595703125,HEAD_COVER,98.84446716308594,99.99041748046875,0.11515078180018179,True
image-asset/mufid-majnun-EiVEsCCLHFE-unsplash.jpg,HEAD,99.33743286132812,HEAD_COVER,90.65086364746094,99.96052551269531,0.0288624580191732,True
image-asset/mufid-majnun-ji0wcfoW7Zc-unsplash.jpg,HEAD,99.83572387695312,HEAD_COVER,99.5074234008789,99.99246215820312,0.011769875764783055,True
image-asset/shutterstock_1700509294.jpg,LEFT_HAND,94.09375762939453,HAND_COVER,97.04693603515625,99.22550964355469,0.006598596901148612,True
image-asset/shutterstock_1700509294.jpg,RIGHT_HAND,97.27388763427734,HAND_COVER,85.62876892089844,97.5253677368164,0.010551453167507996,True
image-asset/shutterstock_1700509294.jpg,HEAD,99.91271209716797,HEAD_COVER,99.68638610839844,99.97285461425781,0.02645552415624053,True
image-asset/shutterstock_1700509294.jpg,HEAD,89.19197845458984,HEAD_COVER,99.201171875,96.46676635742188,0.03165013338353084,True
image-asset/shutterstock_1801645951.jpg,HEAD,99.99234008789062,HEAD_COVER,98.65518951416016,83.9825439453125,0.09139904346808247,True
image-asset/shutterstock_1801645951.jpg,HEAD,99.97036743164062,HEAD_COVER,98.47667694091797,99.99442291259766,0.016334315624616513,True
image-asset/shutterstock_1821026021.jpg,FACE,99.49041748046875,FACE_COVER,99.96187591552734,96.03882598876953,0.009129448081358627,True
image-asset/shutterstock_1821026021.jpg,HEAD,99.99243927001953,HEAD_COVER,88.78848266601562,99.8979263305664,0.016058747456263234,True
image-asset/shutterstock_1821026021.jpg,FACE,99.48531341552734,FACE_COVER,99.98019409179688,97.5843276977539,0.00582668269029929,True
image-asset/shutterstock_1821026021.jpg,HEAD,99.94442749023438,HEAD_COVER,97.07093048095703,99.9757080078125,0.011077778813583183,True
image-asset/shutterstock_1821026021.jpg,FACE,99.4049301147461,FACE_COVER,99.94514465332031,96.57086944580078,0.003955695631981948,True
image-asset/shutterstock_1821026021.jpg,HEAD,99.784912109375,HEAD_COVER,94.8426513671875,97.97307586669922,0.005791675641403926,True
image-asset/shutterstock_1821026021.jpg,FACE,99.37783813476562,FACE_COVER,99.99412536621094,94.46243286132812,0.0035877061621489015,True
image-asset/shutterstock_1821026021.jpg,HEAD,99.93939208984375,HEAD_COVER,84.84111785888672,99.97759246826172,0.009266962196697204,True
image-asset/shutterstock_1821026021.jpg,FACE,89.00196838378906,FACE_COVER,99.89151000976562,98.27029418945312,0.0026641077099285176,True
